pair,arm,entry_temp_c,exit_temp_c,prefill_tps,decode_tps,kernel_gpu_ms,kernel_dispatches,decode_total_gpu_ms
1,A,42,60,570.59,73.49,313.881,4736,1455.538
1,B,50,59,559.02,74.69,314.648,4736,1455.635
2,B,51,62,558.89,74.82,314.663,4736,1454.818
2,A,52,61,563.98,74.47,315.543,4736,1459.986
3,A,52,60,568.50,74.63,315.178,4736,1458.168
3,B,52,61,560.74,74.53,315.635,4736,1459.759
