pair,arm,entry_temp_c,exit_temp_c,prefill_tps,decode_tps,kernel_gpu_ms,kernel_dispatches,decode_total_gpu_ms
1,A,43,62,592.94,74.56,314.877,4736,1460.281
1,B,52,61,589.65,84.22,97.103,4736,1244.168
2,B,51,62,598.06,85.15,97.739,4736,1250.160
2,A,52,62,577.56,74.24,315.509,4736,1468.685
3,A,52,62,593.82,74.24,315.517,4736,1467.985
3,B,53,62,568.07,85.52,97.687,4736,1244.988
