label,rep,start_temp_c,end_temp_c,prefill_tps,decode_tps
A,1,57,69,417.35,66.84
B,1,69,70,499.86,61.60
B,2,68,70,494.47,60.69
A,2,70,70,389.13,63.68
A,3,70,70,386.42,62.98
B,3,70,68,491.38,60.04
B,4,70,69,486.94,59.44
A,4,70,69,384.82,62.59
A,5,69,70,386.47,63.15
B,5,70,70,490.43,59.99
