label,rep,start_temp_c,end_temp_c,prefill_tps,decode_tps
A,1,52,67,167.51,19.05
B,1,67,65,172.04,18.54
B,2,66,66,172.83,18.53
A,2,66,67,170.75,18.33
A,3,67,67,170.51,18.26
B,3,66,67,173.77,18.26
B,4,67,68,172.07,18.26
A,4,68,66,169.50,18.13
A,5,67,68,170.94,18.06
B,5,67,67,174.02,18.29
