label,rep,start_temp_c,end_temp_c,prefill_tps,decode_tps
A,1,48,65,563.47,79.78
B,1,64,66,574.98,80.74
B,2,67,67,575.15,80.28
A,2,65,68,545.18,79.01
A,3,67,69,541.85,79.00
B,3,69,67,552.99,79.92
B,4,68,69,572.23,79.88
A,4,68,69,549.36,79.00
A,5,69,66,536.92,78.19
B,5,66,69,542.46,79.73
B,6,68,69,536.80,79.72
A,6,69,69,566.51,78.67
A,7,68,69,560.23,78.36
B,7,69,68,542.23,79.37
