label,rep,start_temp_c,end_temp_c,prefill_tps,decode_tps
A,1,44,60,178.13,23.66
B,1,60,62,167.86,22.22
B,2,62,63,171.42,22.04
A,2,64,64,170.75,21.79
A,3,64,66,172.06,20.18
B,3,66,67,171.53,18.81
B,4,66,65,171.92,18.67
A,4,65,68,171.14,19.69
A,5,67,66,170.03,18.57
B,5,66,66,169.88,18.58
B,6,65,66,169.42,18.55
A,6,66,65,170.62,18.58
A,7,66,67,171.74,18.57
B,7,66,66,169.84,18.47
