ggml_vulkan: Found 1 Vulkan devices:
ggml_vulkan: 0 = AMD BC-250 (RADV GFX1013) (radv) | uma: 1 | fp16: 1 | bf16: 0 | fp4: 0 | warp size: 32 | shared memory: 65536 | int dot: 0 | matrix cores: none
build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,load_mode,lazy_mode,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"0cae430","1","AMD BC-250","AMD BC-250 (RADV GFX1013)","Vulkan","/home/server/q36/gguf/Swift-Qwen3.8-27B-IQ3_XXS.gguf","qwen35 27B IQ3_XXS - 3.0625 bpw","12521508864","27320697856","2048","512","8","0x0","0","50","f16","f16","99","0","layer","0","0","-1","auto","0.00","none","auto","auto","0","0","0","0","0","1024","0","0","2026-09-17T20:29:38Z","9511168552","425547836","107.807206","4.839515"
"0cae430","1","AMD BC-250","AMD BC-250 (RADV GFX1013)","Vulkan","/home/server/q36/gguf/Swift-Qwen3.8-27B-IQ3_XXS.gguf","qwen35 27B IQ3_XXS - 3.0625 bpw","12521508864","27320697856","2048","512","8","0x0","0","50","f16","f16","99","0","layer","0","0","-1","auto","0.00","none","auto","auto","0","0","0","0","0","0","16","0","2026-09-17T20:30:15Z","745549815","21193940","21.472219","0.609397"
