label,rep,start_temp_c,end_temp_c,prefill_tps,decode_tps
A,1,55,65,172.20,21.39
B,1,66,66,169.73,18.56
B,2,64,66,170.67,18.55
A,2,66,66,170.21,18.58
A,3,66,66,170.69,18.58
B,3,66,66,170.32,18.57
B,4,65,66,170.65,18.48
A,4,66,67,170.94,18.48
A,5,66,69,147.52,9.89
B,5,69,66,169.61,18.56
B,6,67,67,170.88,18.47
A,6,66,67,169.93,18.48
A,7,66,66,170.67,18.48
B,7,67,67,171.62,18.48
