label,rep,start_temp_c,end_temp_c,prefill_tps,decode_tps
A,1,52,65,171.54,18.61
B,1,64,65,170.38,18.27
B,2,64,66,169.83,18.23
A,2,66,67,170.38,18.24
A,3,66,67,170.99,18.21
B,3,65,67,169.73,17.95
B,4,67,68,169.84,17.98
A,4,67,67,170.51,18.05
A,5,67,67,169.08,18.10
B,5,67,68,169.97,17.90
B,6,67,67,169.20,17.87
A,6,67,67,169.96,18.06
A,7,68,67,168.62,18.10
B,7,68,68,169.23,17.88
