label,rep,start_temp_c,end_temp_c,prefill_tps,decode_tps
mavis-trash: moved to trash: '/tmp/tmp.PvGUM7xYBR'
A,1,68,71,547.59,77.78
mavis-trash: moved to trash: '/tmp/tmp.Jx9nHkUeDD'
B,1,71,71,582.34,78.38
mavis-trash: moved to trash: '/tmp/tmp.zCsITIZgCh'
B,2,69,72,565.26,78.59
mavis-trash: moved to trash: '/tmp/tmp.kn46ZZu1co'
A,2,71,71,544.03,78.11
mavis-trash: moved to trash: '/tmp/tmp.3PZqQmOVHq'
A,3,70,71,545.13,78.06
mavis-trash: moved to trash: '/tmp/tmp.UNq5z5AadI'
B,3,70,72,549.51,78.98
mavis-trash: moved to trash: '/tmp/tmp.RNuMb9Apk3'
B,4,71,70,586.16,79.15
mavis-trash: moved to trash: '/tmp/tmp.OE2Xk8g6iD'
A,4,70,71,588.94,78.55
mavis-trash: moved to trash: '/tmp/tmp.AvbFnc5O3z'
A,5,70,71,577.07,78.69
mavis-trash: moved to trash: '/tmp/tmp.MgbeTrY0uN'
B,5,70,70,547.32,79.03
mavis-trash: moved to trash: '/tmp/tmp.AnHh3KaLcv'
