A,1,52,65,169.25,18.50
B,1,64,64,172.57,18.66
B,2,64,66,173.56,18.58
A,2,66,67,170.44,18.36
A,3,66,66,170.48,18.18
B,3,66,66,173.05,18.12
B,4,67,67,172.40,18.22
A,4,66,68,169.11,18.02
A,5,67,68,169.02,18.12
B,5,65,67,171.90,18.20
B,6,67,67,173.44,18.14
A,6,67,68,169.14,18.10
A,7,68,68,169.30,18.01
B,7,68,68,173.01,18.23
