label,rep,start_temp_c,end_temp_c,prefill_tps,decode_tps
A,1,52,63,172.11,18.66
B,1,64,66,168.49,18.44
B,2,65,66,166.54,18.20
A,2,65,67,171.37,18.26
A,3,66,67,170.77,18.19
B,3,66,67,166.66,17.93
B,4,67,67,167.40,18.00
A,4,68,67,169.88,18.05
A,5,67,68,170.52,18.06
B,5,68,68,166.04,17.93
B,6,67,66,166.13,17.90
A,6,68,67,171.07,18.05
A,7,68,68,170.27,18.05
B,7,68,68,165.63,17.86
