label,rep,start_temp_c,end_temp_c,prefill_tps,decode_tps
A,1,55,67,196.72,31.40
B,1,67,68,196.25,31.48
B,2,68,69,196.66,31.44
A,2,69,70,196.97,31.44
A,3,69,71,196.49,31.46
B,3,70,70,197.13,31.44
B,4,69,71,196.46,31.47
A,4,71,72,196.86,31.43
A,5,71,72,197.28,31.40
B,5,71,71,196.50,31.45
B,6,72,72,197.46,31.41
A,6,72,72,196.72,31.44
A,7,72,73,195.50,31.49
B,7,72,71,197.19,31.41
