label,rep,start_temp_c,end_temp_c,prefill_tps,decode_tps
A,1,53,66,172.35,22.04
B,1,66,66,171.98,18.69
B,2,66,66,169.49,18.59
A,2,66,67,170.17,18.59
A,3,66,67,170.72,18.59
B,3,66,66,171.41,18.57
B,4,66,65,171.21,18.58
A,4,66,66,171.01,18.49
A,5,66,66,170.93,18.56
B,5,66,66,170.71,18.46
B,6,66,66,170.75,18.49
A,6,66,66,170.89,18.49
A,7,66,66,170.97,18.48
B,7,67,66,169.86,18.49
