1789729547.922888026,45000,500000000,37885000,
1789729548.180241601,45000,500000000,37587000,
1789729548.438029816,44000,500000000,31721000,
1789729548.700067899,44000,500000000,32779000,
1789729548.960372735,45000,500000000,39317000,
1789729549.218257355,45000,500000000,38945000,
1789729549.475179328,46000,500000000,35516000,
1789729549.734962118,45000,500000000,31844000,
1789729549.997179688,45000,500000000,31523000,
1789729550.257473982,45000,500000000,33409000,
1789729550.515997100,45000,500000000,33719000,
1789729550.774552353,45000,500000000,33269000,
1789729551.034542086,45000,500000000,42276000,
1789729551.295273657,45000,500000000,32335000,
1789729551.555619845,45000,500000000,32443000,
1789729551.815406082,45000,500000000,33996000,
1789729552.073614271,45000,500000000,34947000,
1789729552.332601370,44000,500000000,31901000,
1789729552.594048823,45000,500000000,32441000,
1789729552.855869889,46000,500000000,31425000,
1789729553.117002188,45000,500000000,33771000,
1789729553.376860357,45000,500000000,33643000,
1789729553.635861137,45000,500000000,32143000,
1789729553.895775243,46000,500000000,37194000,
1789729554.153284994,45000,500000000,33839000,
1789729554.412744398,45000,500000000,30865000,
1789729554.675960060,45000,500000000,31276000,
1789729554.940029574,45000,500000000,31146000,
1789729555.203712888,45000,500000000,31234000,
1789729555.467259265,46000,500000000,31202000,
1789729555.730995550,45000,500000000,31174000,
1789729555.994286679,46000,500000000,33578000,
1789729556.253685022,44000,500000000,33155000,
1789729556.513175042,45000,500000000,33218000,
1789729556.772485526,45000,500000000,38085000,
1789729557.031163239,45000,500000000,32940000,
1789729557.290860296,45000,500000000,31687000,
1789729557.551293079,45000,500000000,32125000,
1789729557.811182426,45000,500000000,33047000,
1789729558.069775840,45000,500000000,33193000,
1789729558.328974124,45000,500000000,32790000,
1789729558.588829512,45000,500000000,32512000,
1789729558.857011260,45000,500000000,35106000,
1789729559.132081705,45000,500000000,38419000,
1789729559.399316628,45000,500000000,35807000,
1789729559.656441147,71000,2000000000,141558000,
1789729559.915281831,81000,2000000000,133350000,
1789729560.173428787,85000,1970000000,155692000,
1789729560.431535137,86000,1950000000,135688000,
1789729560.694880132,85000,1920000000,143503000,
1789729560.957298745,85000,1890000000,147594000,
1789729561.215172312,83000,1870000000,147856000,
1789729561.475221484,82000,1840000000,143464000,
1789729561.736806872,81000,1820000000,139691000,
1789729561.997914788,82000,1790000000,99516000,
1789729562.258200060,74000,1780000000,114390000,
1789729562.514845774,76000,2000000000,119671000,
1789729562.771118253,76000,2000000000,116843000,
1789729563.027238964,77000,2000000000,96648000,
1789729563.283827173,77000,2000000000,113889000,
1789729563.540147492,78000,2000000000,115843000,
1789729563.796767660,77000,2000000000,147499000,
1789729564.053122765,77000,2000000000,130918000,
1789729564.309272064,77000,2000000000,120586000,
1789729564.565304708,77000,2000000000,143915000,
1789729564.821895627,78000,2000000000,137005000,
1789729565.078191958,78000,2000000000,148540000,
1789729565.335007415,78000,2000000000,151260000,
1789729565.591354882,78000,2000000000,139453000,
1789729565.847908145,87000,2000000000,117803000,
1789729566.105819470,90000,1970000000,150883000,
1789729566.365571115,88000,1940000000,154155000,
1789729566.625850712,88000,1920000000,142527000,
1789729566.888317745,87000,1890000000,151793000,
1789729567.146862074,86000,1870000000,148641000,
1789729567.407344763,85000,1840000000,142405000,
1789729567.669384970,86000,1810000000,142538000,
1789729567.929807743,84000,1790000000,140359000,
1789729568.187636517,76000,1760000000,68328000,
