ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
1024,1024,191.12,32,30.46,4108
1152,128,120.00,32,28.68,4620
1280,128,126.82,32,26.63,5132
1408,128,109.71,32,32.32,5644
1536,128,108.64,32,24.15,6156
1664,128,103.34,32,29.54,6668
1792,128,98.91,32,22.28,7180
1920,128,98.16,32,30.22,7692
2048,128,96.18,32,29.20,8204
2176,128,92.18,32,21.05,8716
2304,128,160.16,32,33.69,9228
2432,128,93.45,32,27.08,9740
2560,128,90.71,32,30.69,10252
2688,128,89.44,32,21.03,10764
2816,128,94.86,32,34.01,11276
2944,128,89.93,32,29.25,11788
3072,128,86.72,32,26.13,12300
