label,wall_s,peak_rss_kb,peak_vmswap_kb,gtt_base_kb,gtt_peak_kb,csv
short-ctx128,9.02,6751768,0,12876,7208600,"128,128,182.56,128,35.69,524;"
long-512-2048,39.77,6881228,8900,12876,7258520,"512,512,206.72,128,34.66,2060;2048,1536,160.60,128,33.34,8204;"
ttft-512,5.23,7110976,0,12876,7218584,"512,512,209.27,0,0.00,0;"
ttft-2048,15.18,7133004,0,12876,7258520,"2048,2048,164.61,0,0.00,0;"
