ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
1024,1024,190.42,32,30.61,4108
1152,128,122.14,32,30.54,4620
1280,128,123.37,32,25.74,5132
1408,128,111.55,32,24.68,5644
1536,128,112.48,32,24.04,6156
1664,128,103.33,32,29.54,6668
1792,128,99.74,32,22.40,7180
1920,128,98.72,32,29.47,7692
2048,128,94.59,32,29.08,8204
2176,128,91.97,32,20.98,8716
2304,128,91.40,32,24.21,9228
2432,128,93.13,32,21.61,9740
2560,128,92.70,32,31.05,10252
2688,128,91.01,32,27.00,10764
2816,128,87.92,32,26.55,11276
2944,128,86.43,32,26.27,11788
3072,128,85.82,32,29.51,12300
