rep,arm,start_temp,end_temp,result
A1,48,66,512,512,194.21,128,34.35,2060,
B1,55,66,512,512,206.08,128,33.42,2060,
B2,54,67,512,512,200.62,128,33.30,2060,
A2,55,67,512,512,193.87,128,32.93,2060,
A3,55,67,512,512,199.40,128,32.72,2060,
B3,54,67,512,512,198.68,128,32.52,2060,
B4,55,67,512,512,202.91,128,32.74,2060,
A4,55,66,512,512,198.08,128,32.54,2060,
A5,55,65,512,512,194.25,128,32.87,2060,
B5,55,67,512,512,205.36,128,32.76,2060,
B6,54,67,512,512,201.33,128,32.60,2060,
A6,56,67,512,512,197.20,128,32.31,2060,
A7,56,65,512,512,200.23,128,32.62,2060,
B7,55,67,512,512,203.26,128,32.59,2060,
B8,55,67,512,512,206.52,128,32.72,2060,
A8,56,67,512,512,195.63,128,32.61,2060,
A9,55,67,512,512,199.49,128,32.85,2060,
B9,54,67,512,512,206.83,128,32.84,2060,
B10,55,67,512,512,200.94,128,32.30,2060,
A10,56,66,512,512,193.73,128,32.80,2060,
