timestamp,label,start_temp_c,end_temp_c,wall_s,result
2026-09-18T08:06:08-03:00,base-r1,46,68,21,"512;512;196.85;128;35.08;2060"
2026-09-18T08:06:22-03:00,base-r2,55,68,12,"512;512;199.06;128;34.87;2060"
2026-09-18T08:06:36-03:00,base-r3,55,69,11,"512;512;194.83;128;33.79;2060"
