timestamp,label,start_temp_c,end_temp_c,wall_s,result
2026-09-18T08:19:05-03:00,p2-A-1,52,67,12,"512;512;198.93;128;32.38;2060"
2026-09-18T08:19:21-03:00,p2-B-1,55,69,11,"512;512;192.08;128;33.13;2060"
2026-09-18T08:19:40-03:00,p2-B-2,55,68,13,"512;512;192.49;128;32.89;2060"
2026-09-18T08:20:00-03:00,p2-A-2,55,68,13,"512;512;196.54;128;32.61;2060"
2026-09-18T08:20:23-03:00,p2-A-3,55,68,14,"512;512;196.58;128;32.46;2060"
2026-09-18T08:20:52-03:00,p2-B-3,55,68,14,"512;512;193.18;128;33.01;2060"
